matchId,t1Dragons,t2Dragons,t1Rift,t2Rift,topGoldDiff,jgGoldDiff,midGoldDiff,adcGoldDiff,suppGoldDiff,timePlay,winloss,top1,jug1,mid1,adc1,sp1,top2,jug2,mid2,adc2,sp2
NA1_4256992325,1,0,0,0,1209,699,-1593,-201,112,2095,100,Camille,Shaco,Orianna,Kaisa,Rakan,Tryndamere,Ekko,Lux,Ezreal,Rell
NA1_4243012512,1,0,1,0,-1135,1124,1069,468,703,1756,200,Volibear,Gwen,Zed,Vayne,Maokai,Fiora,Graves,Akali,Jinx,Nautilus
NA1_4258613613,0,2,0,1,1169,-1773,-1177,-1504,-3371,2306,100,Gangplank,Trundle,Syndra,Jinx,Thresh,Karma,LeeSin,Xerath,Ezreal,Lux
NA1_4236616832,1,1,0,1,643,1872,-2062,-1822,-1525,1388,100,Illaoi,Diana,Yasuo,Tristana,Blitzcrank,Vayne,Shaco,Fizz,Lucian,Leona
NA1_4246535202,0,2,0,0,-1120,-696,-1796,-27,-219,2008,200,Nasus,Volibear,Orianna,Aphelios,Zilean,Trundle,Hecarim,Kaisa,Caitlyn,Shen
NA1_4248834534,2,0,0,1,441,-1035,-10,240,-1,1493,100,Camille,Viego,Ryze,Jinx,Nami,Heimerdinger,Kayn,Gragas,Xayah,Rakan
NA1_4259027402,0,0,0,0,338,707,-1203,1909,1312,1296,100,Riven,Hecarim,Yone,Jhin,Zyra,Nasus,Rammus,Irelia,Zeri,Seraphine
NA1_4255078683,1,0,1,0,3768,-731,647,1500,918,1500,100,Sett,Taliyah,Chogath,Jinx,Morgana,Tryndamere,Hecarim,Annie,Samira,Soraka
NA1_4244754110,0,1,1,0,-1854,2223,-1526,-501,-362,1908,100,Mordekaiser,Trundle,Yasuo,Kaisa,Alistar,Darius,RekSai,Katarina,Lulu,Yuumi
NA1_4238937400,1,1,0,1,-1644,-453,1418,80,-208,2171,200,Camille,Olaf,Tristana,Veigar,Brand,Jax,LeeSin,Corki,MissFortune,Thresh
NA1_4252233730,2,0,1,0,2343,1639,-211,831,-135,1369,100,Renekton,MonkeyKing,Ahri,Caitlyn,Thresh,Gnar,Zac,Gwen,Ashe,Senna
