matchId,t1Dragons,t2Dragons,t1Rift,t2Rift,topGoldDiff,jgGoldDiff,midGoldDiff,adcGoldDiff,suppGoldDiff,t1TopTowerTaken,t1MidTowerTaken,t1BotTowerTaken,t2TopTowerTaken,t2MidTowerTaken,t2BotTowerTaken,gameLength,winningTeam,team1Top,team1Jg,team1Mid,team1Adc,team1Supp,team2Top,team2Jg,team2Mid,team2Adc,team2Supp
NA1_4253324134,0,1,1,0,-1148,258,1130,201,275,0,0,0,0,1,0,1829,100,Fiora,Amumu,Vex,Lucian,Rakan,Yorick,Hecarim,Akali,Aphelios,Lulu
NA1_4236081598,2,0,1,0,583,849,999,1305,1646,0,0,0,1,0,0,1268,100,Illaoi,Nunu,Akshan,Jhin,Velkoz,Sett,LeeSin,Leblanc,Jinx,Soraka
NA1_4248766843,0,1,1,0,-185,2452,630,-906,217,1,0,0,1,1,0,1790,200,Yorick,Nocturne,Galio,Kaisa,Shen,Sett,Twitch,Singed,Vayne,Leona
NA1_4252537693,1,1,0,0,-1168,-1166,-747,-2065,-809,0,0,0,0,0,0,1304,200,Irelia,Hecarim,Lux,Jhin,Seraphine,Ornn,Zac,Yasuo,Ezreal,Nami
NA1_4251209752,2,0,1,0,136,-22,2139,262,383,0,0,0,0,0,0,1577,100,Trundle,JarvanIV,Karma,Kaisa,Rakan,Sett,Taliyah,Caitlyn,Qiyana,Swain
NA1_4250654747,1,1,0,0,65,-581,1447,-1647,1618,0,0,0,0,0,0,1956,200,Jayce,Hecarim,Zed,Nami,Caitlyn,Tryndamere,Diana,Anivia,Samira,Leona
NA1_4251981382,1,1,0,0,-2061,1435,-304,349,351,1,0,0,0,0,0,1695,100,Darius,Graves,Corki,Ezreal,Lux,Sion,Zac,Leblanc,Kaisa,Lulu
NA1_4253387950,0,1,0,1,277,-530,-853,432,434,0,0,0,0,0,1,1693,100,Volibear,Viego,Lux,Lucian,Bard,Irelia,XinZhao,Katarina,Kaisa,Ashe
NA1_4254639484,1,1,0,0,-1836,1095,-2600,-5,-65,1,0,0,0,0,0,1721,200,Yasuo,Graves,Katarina,Kaisa,Janna,Yorick,Vi,Neeko,MissFortune,Rell
NA1_4245107739,1,0,0,1,-1320,-103,872,1695,1217,0,0,0,0,0,0,1751,100,Malzahar,Volibear,Akshan,Jhin,Lux,Urgot,Viego,Irelia,TahmKench,Soraka
NA1_4244359282,0,2,0,0,327,833,-2586,-3023,-973,0,0,1,0,0,0,1708,200,Malphite,Zac,Annie,Draven,Pyke,Jax,Skarner,Vex,Tristana,Blitzcrank
NA1_4249994858,1,0,0,1,-1265,1708,116,1001,1070,0,0,0,0,0,0,1874,200,Jax,Khazix,Ahri,Jinx,Thresh,MonkeyKing,Rammus,Qiyana,Lucian,Yuumi
NA1_4255866943,1,0,0,1,746,1395,-801,1697,908,1,0,0,0,0,1,1216,100,Vayne,Jax,Akali,MissFortune,Zilean,Garen,Nunu,Akshan,Jhin,Lulu
NA1_4245496191,1,1,1,0,2276,-1611,-1952,-5,-455,0,0,0,1,0,0,2555,100,Chogath,MonkeyKing,Singed,KogMaw,Lulu,Ornn,Trundle,Velkoz,Ezreal,Yuumi
NA1_4251987492,1,1,1,0,2285,-496,-634,-702,-1492,0,0,0,1,0,0,1555,200,Aatrox,Nunu,Vex,Jinx,Shen,Volibear,MasterYi,TwistedFate,Draven,Lux
NA1_4255386633,1,0,0,1,36,-1110,-2265,-1525,-210,1,2,0,0,0,0,1468,200,DrMundo,Yuumi,Katarina,Lucian,Zac,Karthus,Mordekaiser,Chogath,Jinx,Nautilus
NA1_4254848508,2,0,1,0,-319,875,1635,-1633,-23,0,0,1,0,0,1,2034,100,Graves,XinZhao,Neeko,Vayne,Karma,Renekton,MasterYi,Viktor,Lucian,Nami
NA1_4248703504,1,0,0,1,-996,-1473,-2082,729,1943,0,0,0,0,0,0,1999,100,Malphite,Ivern,Veigar,Lucian,Brand,Nasus,Amumu,Lux,Jinx,Lulu
