t1Dragons,t2Dragons,t1Rift,t2Rift,topGoldDiff,jgGoldDiff,midGoldDiff,adcGoldDiff,suppGoldDiff
1,0,0,0,-486,-479,757,678,6
0,1,0,1,-926,-1942,-416,-150,239
0,2,0,1,62,495,-422,-3473,-2566
1,0,0,1,205,520,-1943,-238,1140
1,1,0,1,-1062,-2537,-1462,488,1028
0,2,0,1,-1189,-3962,-2100,-1234,-1688
0,1,0,0,1498,1556,636,629,313
0,2,0,0,-2350,-1560,-1614,-367,-905
0,2,0,1,-2357,759,-666,1493,1
2,0,1,0,-330,-107,498,6046,3839
0,2,0,1,1016,-861,-389,-2966,-88
2,0,1,0,814,-156,1246,-795,-483
1,1,0,1,2081,1123,271,-2787,-166
0,1,1,0,1221,-1249,349,2438,1558
1,0,0,0,1571,695,327,-242,89
1,0,0,0,-2037,854,-862,2040,-553
0,2,1,0,287,-161,-764,-390,-685
1,0,0,1,0,0,0,0,0
1,0,1,0,1591,1946,1273,4153,1657
0,2,1,0,-37,1190,-396,122,350
1,1,0,1,-573,447,-309,-2691,-3298
1,0,1,0,-447,3661,3072,-1250,-853
0,0,1,0,-2335,-894,-900,-763,1305
1,1,0,1,-3980,-1616,153,-987,190
0,1,1,0,-1211,-936,-1139,-802,-1431
0,0,0,0,0,0,0,0,0
1,0,1,0,1686,1370,894,-444,95
1,0,0,0,3975,173,-706,1755,742
1,0,0,1,2575,-2675,434,-1125,-1547
1,0,0,1,-2396,620,1825,1225,-186
0,1,1,0,709,1128,306,2012,1089
1,0,0,1,-1718,723,-816,330,200
1,0,0,0,490,-1955,-725,-517,-282
1,0,1,0,-218,-292,1172,785,-521
0,2,0,0,-1391,-1143,-123,-1285,10
0,1,0,1,-756,-1243,331,1776,739
2,0,0,0,2242,-90,702,373,-137
1,0,0,1,4044,2647,-139,-1354,-297
1,1,1,0,1915,1338,184,-2991,-128
1,0,1,0,264,-1089,-2780,1334,1634
2,0,1,0,-1258,1387,157,-499,1227
0,2,0,1,678,-1063,-2953,-1975,-708
0,2,0,1,-370,-2229,-329,369,399
0,2,0,1,-2654,-199,-1876,-1966,-619
0,1,0,0,396,1755,-1670,234,-726
2,0,0,0,2310,-1101,-62,1456,483
1,1,1,0,-209,-1260,-711,897,452
1,0,0,0,307,-1114,232,-330,651
2,0,1,0,477,2312,2045,-1087,617
2,0,1,0,777,1865,3281,540,-192
2,0,1,0,4094,1072,1549,519,-357
1,1,0,0,-1340,-299,519,-661,169
1,0,0,1,-858,515,907,46,395
1,1,1,0,-1224,-623,2655,2015,-650
0,1,1,0,1661,-1172,-1474,-170,-307
0,1,0,0,-379,536,878,684,442
0,2,1,0,3118,411,-1607,-2949,-1538
0,1,0,1,-466,-1920,-1941,-917,-654
1,0,0,0,444,-1185,-769,-1443,-1250
0,2,0,0,-363,1262,1352,567,74
0,0,0,0,0,0,0,0,0
1,0,1,0,2591,-15,1788,424,829
0,1,1,0,1280,-1027,-219,-151,780
0,1,1,0,2705,1466,-2299,1265,889
0,1,0,0,-2700,-1504,2820,918,317
2,0,1,0,1573,1660,1440,166,1709
0,1,0,0,-1400,-1696,-2335,-514,-176
0,1,1,0,-1373,652,2750,-750,-1004
2,0,1,0,1985,1389,19,-1866,-799
2,0,1,0,2829,3011,-53,5127,1663
0,1,0,1,1119,-73,-455,-1579,-86
2,0,1,0,77,32,2098,1071,1511
0,2,0,0,-1405,-336,-319,-2174,-1181
2,0,1,0,2892,886,1584,1315,-18
0,1,0,1,459,-2667,-242,1676,1657
2,0,0,0,-574,-1258,-1816,371,-157
